state,state_code,format,reference,notes
Hawaii,50,{state_code}-{island_code}-{quad}-nnnnn,https://dlnr.hawaii.gov/shpd/files/2015/06/SIHP_Explanation-1.pdf,"Hawaii uses a state-specific four-part numbering system consisting of the Smithsonian Trinomial Hawaii state code (50), a unique number for each island, a HI quadrangle number, followed by a unique sequential number for each site within the HI quadrangle. The HI quadrangle system is subtly different from the USGS system, and the quadrangle boundaries are available at https://files.hawaii.gov/dbedt/op/gis/data/usgs_quads_n83.shp.zip."
Idaho,10,{state_code}{county_code}n,https://history.idaho.gov/wp-content/uploads/Consulting_With_Idaho_SHPO.pdf,Idaho uses the Smithsonian Trinomial site numbering system. Idaho county codes are available online at https://history.idaho.gov/wp-content/uploads/Consulting_With_Idaho_SHPO.pdf.
Illinois,11,{state_code}{county_code}n,https://www2.illinois.gov/dnrhistoric/Preserve/Pages/Archaeology.aspx,"Illinois uses the Smithsonian Trinomial site numbering system. Illinois county codes are not readily available online, but codes were kindly provided by the Illinois Historic Preservation Office. Questions should be directed to the Illinois Historic Preservation Office."
Indiana,12,{state_code}-{county_code}-nnnn,https://www.in.gov/dnr/historic-preservation/,"Indiana uses the Smithsonian Trinomial site numbering system. Indiana county codes are not readily available online, but codes were kindly provided by the Indiana Division of Historic Preservation and Archaeology. Note that some counties are represented by a single letter, and only the first letter of the county abbreviation is capitalized. Questions should be directed to the Indiana state archaeologist."
Iowa,13,{state_code}{county_code}n,https://archaeology.uiowa.edu/iowa-county-abbreviations-site-designation,Iowa uses the Smithsonian Trinomial site numbering system. Iowa county codes are available online at https://archaeology.uiowa.edu/iowa-county-abbreviations-site-designation.
Kansas,14,{state_code}{county_code}n,https://www.kshs.org/p/kansas-county-abbreviations-for-archeological-trinomials/15769,Kansas uses the Smithsonian Trinomial site numbering system. Kansas county codes are available online at https://www.kshs.org/p/kansas-county-abbreviations-for-archeological-trinomials/15769.
Kentucky,15,{state_code}{county_code}n,https://anthropology.as.uky.edu/office-state-archaeology,"Kentucky uses the Smithsonian Trinomial site numbering system. Kentucky county codes are not readily available online, but codes were kindly provided by the Kentucky Office of State Archaeology. Note that some counties are represented by three letters, and only the first letter of the county abbreviation is capitalized (except in the case of three-letter codes). Questions should be directed to the Kentucky state archaeologist."
Louisiana,16,{state_code}{county_code}n,https://www.crt.state.la.us/Assets/OCD/hp/standing-structures-survey/SurveyGuidelines(mastecopyed_9_11_14).pdf,"Louisiana uses the Smithsonian Trinomial site numbering system, with parish codes in place of county codes. Louisiana parish codes are available online at https://www.crt.state.la.us/Assets/OCD/hp/standing-structures-survey/SurveyGuidelines(mastecopyed_9_11_14).pdf."
Maine,17,{quad}.n,https://www.maine.gov/mhpc/home,"Maine uses a two-part numbering system consisting of an integer quadrangle number roughly corresponding to USGS 15 minute quads, followed by a unique sequential number for each site within the quadrangle. The numbering system is not readily available online, but a depiction of the quadrangle assignments was kindly provided by the Maine Historic Preservation Commission, from which numbers were assigned to 7.5 minute USGS quads and then geospatially unioned into polygons. Questions should be directed to the Maine Historic Preservation Commission senior archaeologist."
Maryland,18,{state_code}{county_code}nnnn,,
Massachusetts,19,{state_code}-{county_code}-nnnn,,
Michigan,20,{state_code}{county_code}nnnn,,
Minnesota,21,{state_code}{county_code}nnnn,,
Mississippi,22,{state_code}-{county_code}-nnnn,,
Missouri,23,{state_code}{county_code}nnnn,,
Montana,24,{state_code}{county_code}nnnn,,
Nebraska,25,{state_code}{county_code}nnnn,,
Nevada,26,{state_code}{county_code}nnnn,,
New Hampshire,27,{state_code}-{county_code}-nnnn,,
New Jersey,28,{state_code}{county_code}nnnn,,
New Mexico,29,LAnnnnn,,
New York,30,{town_code}.nnnnnn,,
North Carolina,31,{state_code}{county_code}nnnn,,
North Dakota,32,{state_code}{county_code}nnnn,,
Ohio,33,{state_code}-{county_code}-nnnn,,
Oklahoma,34,{state_code}{county_code}nnnn,,
Oregon,35,{state_code}-{county_code}-nnnn,,
Pennsylvania,36,{state_code}-{county_code}-nnnn,,
Rhode Island,37,RI-nnnn,,
South Carolina,38,{state_code}-{county_code}-nnnn,,
South Dakota,39,{state_code}{county_code}nnnn,,
Tennessee,40,{state_code}{county_code}nnnn,,
Texas,41,{state_code}-{county_code}-nnnn,,
Utah,42,{state_code}-{county_code}-nnnn,,
Vermont,43,VT-{county_code}-nnnn,,
Virginia,44,{state_code}-{county_code}-nnnn,,
Washington,45,{state_code}-{county_code}-nnnn,,
West Virginia,46,{state_code}-{county_code}-nnnn,,
Wisconsin,47,{state_code}-{county_code}-nnnn,,
Wyoming,48,{state_code}{county_code}nnnn,,
